City,Climate,HousingCost,HlthCare,Crime,Transp,Educ,Arts,Recreat,Econ,CaseNum,Long,Lat,Pop,StNum
"Green-Bay,WI",367.0,8401.0,916.0,583.0,3793.0,2622.0,2547.0,1925.0,5650.0,125.0,-88.007,44.513,175280.0,49.0
"Greensboro-Winston-Salem-High-Point,NC",626.0,7064.0,1694.0,967.0,4453.0,3090.0,4188.0,1651.0,5204.0,126.0,-80.0127,36.0417,851851.0,28.0
"Greenville-Spartanburg,SC",655.0,6336.0,1260.0,1185.0,3950.0,3236.0,2569.0,1410.0,5012.0,127.0,-82.1725,34.895,569066.0,41.0
"Hagerstown,MD",568.0,7763.0,818.0,627.0,3431.0,2990.0,825.0,1491.0,4477.0,128.0,-77.72,39.645,113086.0,21.0
"Hamilton-Middletown,OH",542.0,8227.0,1135.0,892.0,3338.0,2747.0,2316.0,1604.0,4618.0,129.0,-84.481,39.4565,258787.0,36.0
"Harrisburg-Lebanon-Carlisle,PA",556.0,7891.0,2087.0,629.0,6164.0,3224.0,3083.0,1532.0,5322.0,130.0,-76.8343,40.2683,555158.0,39.0
"Hartford,CT",516.0,11652.0,2521.0,1279.0,7120.0,3628.0,3616.0,1790.0,6307.0,131.0,-72.675,41.767,715923.0,7.0
"Hickory,NC",623.0,6760.0,1006.0,765.0,2703.0,2726.0,188.0,797.0,4728.0,132.0,-81.337,35.737,202711.0,28.0
"Honolulu,HI",717.0,17021.0,1298.0,891.0,5911.0,2502.0,7168.0,3703.0,5187.0,133.0,-126.0568,31.7365,762565.0,12.0
"Houma-Thibodaux,LA",427.0,7094.0,583.0,400.0,1145.0,1995.0,725.0,2700.0,6662.0,134.0,-90.77,29.696,176876.0,19.0
"Houston,TX",424.0,9760.0,2467.0,1499.0,4626.0,3271.0,11073.0,1825.0,7464.0,135.0,-95.003,29.834,2735766.0,44.0
"Huntington-Ashland,WV-KY-OH",636.0,6632.0,875.0,665.0,4001.0,2525.0,2195.0,840.0,4383.0,136.0,-82.524,38.435,336410.0,50.0
"Huntsville,AL",600.0,6283.0,685.0,924.0,2661.0,2257.0,1921.0,1075.0,6412.0,137.0,-86.587,34.732,196966.0,2.0
"Indianapolis,IN",557.0,7012.0,2243.0,1000.0,5804.0,2690.0,6348.0,1906.0,5082.0,138.0,-86.155,39.77,1166575.0,16.0
"Iowa-City,IA",434.0,9429.0,2437.0,830.0,2770.0,2842.0,2255.0,1506.0,5165.0,139.0,-91.535,41.662,81717.0,13.0
"Jackson,MI",518.0,6794.0,679.0,1021.0,4800.0,2654.0,323.0,1933.0,3822.0,140.0,-84.4,42.247,151495.0,23.0
"Jackson,MS",412.0,7245.0,1792.0,1091.0,4917.0,3130.0,3209.0,1427.0,5186.0,141.0,-90.195,32.332,362038.0,26.0
"Jacksonville,FL",457.0,6626.0,1181.0,1211.0,5611.0,3048.0,2162.0,2884.0,6139.0,142.0,-81.657,30.33,722252.0,10.0
"Jacksonville,NC",564.0,6111.0,740.0,967.0,1780.0,2646.0,567.0,1177.0,6386.0,143.0,-77.43,34.748,112784.0,28.0
"Janesville-Beloit,WI",466.0,7447.0,700.0,858.0,3092.0,2532.0,1092.0,1615.0,4371.0,144.0,-89.026,42.595,139420.0,49.0
"Jersey-City,NJ",601.0,8810.0,1759.0,1434.0,4982.0,2574.0,7420.0,1001.0,4889.0,145.0,-74.067,40.728,556972.0,32.0
"Johnson-City-Kingsport-Bristol,TN-VA",663.0,6119.0,1152.0,424.0,2532.0,2925.0,1925.0,2155.0,4903.0,146.0,-82.3335,36.5155,433638.0,43.0
"Johnstown,PA",547.0,6524.0,731.0,353.0,4343.0,2691.0,666.0,903.0,4181.0,147.0,-78.92,40.325,264506.0,39.0
"Joliet,IL",479.0,9327.0,1058.0,837.0,4645.0,2868.0,3177.0,1636.0,4631.0,148.0,-88.08,41.527,355042.0,15.0
"Joplin,MO",580.0,5159.0,500.0,628.0,2335.0,2871.0,80.0,801.0,5324.0,149.0,-94.467,37.083,127513.0,25.0
"Kalamazoo,MI",527.0,7919.0,1043.0,1120.0,5419.0,2896.0,2071.0,2163.0,4794.0,150.0,-85.583,42.29,212378.0,23.0
"Kankakee,IL",483.0,7230.0,609.0,976.0,3444.0,2855.0,75.0,1119.0,5579.0,151.0,-87.867,41.117,102926.0,15.0
"Kansas-City,KS",549.0,8126.0,1711.0,1142.0,5006.0,3028.0,1167.0,1045.0,6166.0,152.0,-94.625,39.117,519031.0,17.0
"Kansas-City,MO",549.0,7076.0,1939.0,1468.0,5869.0,2949.0,5553.0,2043.0,4865.0,153.0,-94.543,39.043,914427.0,25.0
"Kenosha,WI",496.0,8516.0,1067.0,911.0,4473.0,2918.0,3844.0,2224.0,5176.0,154.0,-87.823,42.585,123137.0,49.0
"Kileen-Temple,TX",365.0,6463.0,398.0,733.0,2862.0,3167.0,920.0,931.0,6331.0,155.0,-97.534,31.11,214656.0,44.0
"Knoxville,TN",670.0,6692.0,960.0,622.0,4273.0,2761.0,3309.0,2514.0,5537.0,156.0,-83.918,35.968,565970.0,43.0
"Kokomo,IN",512.0,6616.0,596.0,413.0,1817.0,2904.0,285.0,1000.0,3429.0,157.0,-86.133,40.487,103715.0,16.0
"La-Crosse,WI",352.0,8310.0,686.0,676.0,6096.0,3027.0,1466.0,1953.0,5648.0,158.0,-91.237,43.819,91056.0,49.0
"Lafayette,IN",494.0,7778.0,655.0,465.0,4956.0,2945.0,2235.0,1814.0,4333.0,159.0,-86.893,40.42,121702.0,16.0
"Lafayette,LA",429.0,8572.0,548.0,1030.0,5268.0,2305.0,1772.0,1734.0,9702.0,160.0,-92.02,30.225,190231.0,19.0
"Lake-Charles,LA",469.0,6921.0,314.0,1093.0,3549.0,2336.0,1456.0,1855.0,5872.0,161.0,-93.217,30.228,167223.0,19.0
"Lake-County,IL",514.0,13282.0,1237.0,822.0,3422.0,2607.0,3746.0,2435.0,5755.0,162.0,-88.618,39.636,440372.0,15.0
"Lakeland-Winter-Haven,FL",307.0,6680.0,323.0,1373.0,3412.0,2998.0,309.0,2513.0,5594.0,163.0,-81.8425,28.0325,321652.0,10.0
"Lancaster,PA",559.0,8631.0,1111.0,413.0,3908.0,3097.0,1015.0,1147.0,5120.0,164.0,-76.308,40.037,362346.0,39.0
"Lansing-East-Lansing,MI",480.0,7907.0,1371.0,894.0,5557.0,2891.0,4206.0,1609.0,4747.0,165.0,-84.4295,42.67,419750.0,23.0
"Laredo,TX",424.0,6152.0,465.0,1050.0,3322.0,2827.0,150.0,702.0,5264.0,166.0,-99.503,27.507,99258.0,44.0
"Las-Cruces,NM",552.0,6962.0,588.0,1457.0,2989.0,2736.0,2804.0,1609.0,5341.0,167.0,-106.778,32.312,96340.0,33.0
"Las-Vegas,NV",556.0,9906.0,412.0,1913.0,5900.0,2241.0,1586.0,3996.0,6035.0,168.0,-115.147,36.172,463087.0,34.0
"Lawrence,KS",513.0,7497.0,621.0,1018.0,2931.0,2700.0,3150.0,1752.0,4573.0,169.0,-95.238,38.963,67640.0,17.0
"Lawrence-Haverhill,MA-NH",548.0,10414.0,1202.0,909.0,3575.0,2479.0,2111.0,1879.0,6527.0,170.0,-71.439,43.1757,339090.0,20.0
"Lawton,OK",479.0,5850.0,477.0,1156.0,2366.0,2375.0,1280.0,1757.0,6105.0,171.0,-98.412,34.612,112456.0,37.0
"Lewiston-Auburn,ME",490.0,6876.0,759.0,764.0,2941.0,2694.0,736.0,1853.0,4444.0,172.0,-70.223,44.097,84690.0,22.0
"Lexington-Fayette,KY",635.0,8340.0,1860.0,1055.0,4080.0,2861.0,3596.0,1403.0,6245.0,173.0,-84.497,38.048,317629.0,18.0
"Lima,OH",522.0,6986.0,741.0,855.0,4084.0,2629.0,1352.0,1428.0,4313.0,174.0,-84.105,40.735,154795.0,36.0
"Lincoln,NE",398.0,8256.0,775.0,789.0,5618.0,2878.0,4523.0,1804.0,4908.0,175.0,-96.685,40.823,192884.0,30.0
"Little-Rock,North-Little-Rock,AR",497.0,7270.0,1861.0,1328.0,4186.0,2581.0,2180.0,1462.0,5273.0,176.0,-92.2725,34.751,474484.0,3.0
"Longview-Marshall,TX",500.0,6608.0,509.0,976.0,2680.0,2816.0,334.0,834.0,6898.0,177.0,-94.558,32.521,151752.0,44.0
"Lorain-Elyria,OH",579.0,8309.0,1105.0,609.0,3629.0,2582.0,2565.0,1602.0,3301.0,178.0,-82.144,41.415,274909.0,36.0
"Los-Angeles,Long-Beach,CA",885.0,13868.0,5153.0,1960.0,4345.0,3195.0,23567.0,3948.0,5316.0,179.0,-118.217,33.9165,7477503.0,5.0
"Louisville,KY-IN",616.0,6812.0,2111.0,937.0,5420.0,3028.0,4916.0,1942.0,5402.0,180.0,-85.762,38.247,956756.0,18.0
